"Company_Name","Country_Name","Industry","Stock_ID","Close Price Begin","Close Price End","Difference","Rate of Return in %"
NULL,NULL,NULL,"^STOXX50E","3041.85","4869.28","1827.43","60.08"
"Anheuser-Busch InBev SA/NV","Belgium","Consumer Non-Cyclicals","ABI.BR","60.54","48.02","-12.52","-20.68"
"Air Liquide S.A.","France","Basic Materials","AI.PA","80.43","154.62","74.19","92.25"
"Airbus SE","Netherlands","Industrials","AIR.PA","85.12","154.38","69.26","81.37"
"Allianz SE","Germany","Financials","ALV.DE","177.36","295.90","118.54","66.84"
"ASML Holding N.V.","Netherlands","Technology","ASML.AS","133.70","671.90","538.20","402.54"
"BASF SE","Germany","Basic Materials","BAS.DE","63.19","42.46","-20.73","-32.81"
"Banco Bilbao Vizcaya Argentaria, S.A.","Spain","Financials","BBVA.MC","4.85","9.37","4.52","93.18"
"Bayer AG","Germany","Consumer Non-Cyclicals","BAYN.DE","64.90","19.31","-45.59","-70.24"
"Danone S.A.","France","Consumer Cyclicals","BN.PA","61.98","64.50","2.52","4.07"
"AXA S.A.","France","Financials","CS.PA","19.24","34.12","14.88","77.38"
"Deutsche Boerse AG","Germany","Financials","DB1.DE","107.50","223.60","116.10","108.00"
"VINCI S.A.","France","Industrials","DG.PA","72.58","98.72","26.14","36.02"
"Deutsche Telekom AG","Germany","Technology","DTE.DE","15.05","28.99","13.94","92.69"
"Bouygues S.A.","France","Industrials","EN.PA","30.82","28.54","-2.28","-7.40"
"Enagas S.A.","Spain","Utilities","ENG.MC","24.38","11.67","-12.71","-52.13"
"Enel S.p.A.","Italy","Utilities","ENEL.MI","5.16","6.89","1.73","33.55"
"E.ON SE","Germany","Utilities","EONGY","10.36","11.72","1.36","13.13"
"Ferrovial S.A.","Netherlands","Technology","FER.MC","18.01","40.66","22.65","125.70"
"Iberdrola S.A.","Spain","Utilities","IBE.MC","7.06","13.22","6.15","87.13"
"Industria de Diseno Textil, S.A. (Inditex)","Spain","Consumer Cyclicals","ITX.MC","22.89","49.64","26.75","116.86"
"Kering S.A.","France","Consumer Non-Cyclicals","KER.PA","397.40","237.10","-160.30","-40.34"
"LVMH Moet Hennessy Louis Vuitton SE","France","Consumer Non-Cyclicals","MC.PA","251.15","629.30","378.15","150.57"
"Muenchener Rueckversicherungs-Gesellschaft AG","Germany","Financials","MUV2.DE","190.85","493.00","302.15","158.32"
"L'Oreal S.A.","France","Consumer Cyclicals","OR.PA","200.00","337.40","137.40","68.70"
"Koninklijke Philips N.V.","Netherlands","Healthcare","PHIA.AS","27.28","24.37","-2.91","-10.68"
"Ferrari N.V.","Italy","Automobile","RACE.MI","89.40","412.40","323.00","361.30"
"Pernod Ricard S.A.","France","Consumer Non-Cyclicals","RI.PA","141.10","108.15","-32.95","-23.35"
"Safran S.A.","France","Industrials","SAF.PA","105.20","210.40","105.20","100.00"
"Sanofi S.A.","France","Consumer Non-Cyclicals","SAN.PA","74.93","93.14","18.21","24.30"
"SAP SE","Germany","Technology","SAP.DE","86.44","236.30","149.86","173.37"
"SBM Offshore N.V.","Netherlands","Utilities","SBMO.AS","13.35","16.81","3.45","25.87"
"Compagnie de Saint-Gobain S.A.","France","Industrials","SGO.PA","29.37","85.56","56.19","191.32"
"Siemens AG","Germany","Industrials","SIE.DE","89.42","189.60","100.18","112.04"
"Swiss Life Holding AG","Switzerland","Financials","SLHN.SW","380.20","699.60","319.40","84.01"
"Swiss Re AG","Switzerland","Financials","SREN.SW","91.50","131.20","39.70","43.39"
"Schneider Electric S.E.","France","Industrials","SU.PA","59.72","239.40","179.68","300.87"
"Telefonica S.A.","Spain","Technology","TEF.MC","7.63","3.93","-3.70","-48.50"
"UniCredit S.p.A.","Italy","Financials","UCG.MI","10.21","38.53","28.32","277.40"
"Vivendi SE","France","Consumer Cyclicals","VIV.PA","8.59","2.51","-6.08","-70.74"
"Volkswagen AG (Vorzugsaktie)","Germany","Automobile","VOW3.DE","140.48","88.66","-51.82","-36.89"
"Wolters Kluwer N.V.","Netherlands","Business Services","WKL.AS","51.20","159.45","108.25","211.43"
"Zurich Insurance Group AG","Switzerland","Financials","ZURN.SW","297.20","538.80","241.60","81.29"
