"Company_Name","Stock_ID","Volatility/Risk"
"Zurich Insurance Group AG","ZURN.SW","56.11"
"Safran S.A.","SAF.PA","36.19"
"Banco Bilbao Vizcaya Argentaria, S.A.","BBVA.MC","2.07"
"Enagas S.A.","ENG.MC","3.35"
"Deutsche Telekom AG","DTE.DE","3.77"
"Schneider Electric S.E.","SU.PA","47.94"
"Siemens AG","SIE.DE","30.86"
"UniCredit S.p.A.","UCG.MI","9.65"
NULL,"^STOXX50E","576.19"
"Koninklijke Philips N.V.","PHIA.AS","9.58"
"ASML Holding N.V.","ASML.AS","213.18"
"E.ON SE","EONGY","1.57"
"SAP SE","SAP.DE","32.68"
"Ferrovial S.A.","FER.MC","5.18"
"Unibail-Rodamco-Westfield SE","UL.PA","12.65"
"Allianz SE","ALV.DE","32.24"
"Air Liquide S.A.","AI.PA","25.36"
"Ferrari N.V.","RACE.MI","91.00"
"L'Oreal S.A.","OR.PA","68.61"
"Enel S.p.A.","ENEL.MI","1.03"
"Telefonica S.A.","TEF.MC","1.27"
"Airbus SE","AIR.PA","24.67"
"Deutsche Boerse AG","DB1.DE","24.46"
"LVMH Moet Hennessy Louis Vuitton SE","MC.PA","169.25"
"BASF SE","BAS.DE","9.67"
"Bayer AG","BAYN.DE","13.33"
"Pernod Ricard S.A.","RI.PA","25.20"
"Danone S.A.","BN.PA","7.64"
"Compagnie de Saint-Gobain S.A.","SGO.PA","15.97"
"VINCI S.A.","DG.PA","11.52"
"Swiss Re AG","SREN.SW","13.85"
"Sanofi S.A.","SAN.PA","7.83"
"Industria de Diseno Textil, S.A. (Inditex)","ITX.MC","8.20"
"Swiss Life Holding AG","SLHN.SW","96.53"
"Kering S.A.","KER.PA","121.65"
"Muenchener Rueckversicherungs-Gesellschaft AG","MUV2.DE","86.80"
"AXA S.A.","CS.PA","5.02"
"Iberdrola S.A.","IBE.MC","1.38"
"Volkswagen AG (Vorzugsaktie)","VOW3.DE","33.77"
"Anheuser-Busch InBev SA/NV","ABI.BR","10.32"
"Vivendi SE","VIV.PA","1.34"
"Bouygues S.A.","EN.PA","2.82"
"Wolters Kluwer N.V.","WKL.AS","30.39"
"SBM Offshore N.V.","SBMO.AS","1.56"
